field,period,domain,area_mean,units,aggregation
v850,month_08,ethiopia,3.781250134238028,m s**-1,monthly_climatology
v850,month_08,greater_horn,2.3654413364716063,m s**-1,monthly_climatology
v850,month_08,east_africa,3.1748082538997338,m s**-1,monthly_climatology
v850,month_08,atlantic_congo_ethiopia,1.382436438250695,m s**-1,monthly_climatology
v850,month_08,indian_ocean,1.6503868203688568,m s**-1,monthly_climatology
v850,month_09,ethiopia,2.865650388219028,m s**-1,monthly_climatology
v850,month_09,greater_horn,1.3393839383867658,m s**-1,monthly_climatology
v850,month_09,east_africa,1.9093061602936947,m s**-1,monthly_climatology
v850,month_09,atlantic_congo_ethiopia,0.7611795098607227,m s**-1,monthly_climatology
v850,month_09,indian_ocean,1.0509253463365833,m s**-1,monthly_climatology
v850,JJA,ethiopia,3.744587422278719,m s**-1,seasonal_climatology
v850,JJA,greater_horn,2.6242309133315005,m s**-1,seasonal_climatology
v850,JJA,east_africa,3.5079430449183775,m s**-1,seasonal_climatology
v850,JJA,atlantic_congo_ethiopia,1.6082965644397595,m s**-1,seasonal_climatology
v850,JJA,indian_ocean,1.7913767597751296,m s**-1,seasonal_climatology
v850,JJAS,ethiopia,3.5248535390018536,m s**-1,seasonal_climatology
v850,JJAS,greater_horn,2.3030194665951074,m s**-1,seasonal_climatology
v850,JJAS,east_africa,3.1082841154226823,m s**-1,seasonal_climatology
v850,JJAS,atlantic_congo_ethiopia,1.3965173932128387,m s**-1,seasonal_climatology
v850,JJAS,indian_ocean,1.606264047811426,m s**-1,seasonal_climatology
q850,month_06,ethiopia,0.010532652573887838,kg kg**-1,monthly_climatology
q850,month_06,greater_horn,0.008690005207659418,kg kg**-1,monthly_climatology
q850,month_06,east_africa,0.00930312947948441,kg kg**-1,monthly_climatology
q850,month_06,atlantic_congo_ethiopia,0.00871698935254689,kg kg**-1,monthly_climatology
q850,month_06,indian_ocean,0.009489360654601611,kg kg**-1,monthly_climatology
q850,month_07,ethiopia,0.01082237030477916,kg kg**-1,monthly_climatology
q850,month_07,greater_horn,0.008888176949364177,kg kg**-1,monthly_climatology
q850,month_07,east_africa,0.009388279310210875,kg kg**-1,monthly_climatology
q850,month_07,atlantic_congo_ethiopia,0.008709726797963564,kg kg**-1,monthly_climatology
q850,month_07,indian_ocean,0.009469412552437016,kg kg**-1,monthly_climatology
q850,month_08,ethiopia,0.011026834004467946,kg kg**-1,monthly_climatology
q850,month_08,greater_horn,0.009261230720556747,kg kg**-1,monthly_climatology
q850,month_08,east_africa,0.009725928302342849,kg kg**-1,monthly_climatology
q850,month_08,atlantic_congo_ethiopia,0.009082648452922623,kg kg**-1,monthly_climatology
q850,month_08,indian_ocean,0.009342193046167893,kg kg**-1,monthly_climatology
q850,month_09,ethiopia,0.010634818163279902,kg kg**-1,monthly_climatology
q850,month_09,greater_horn,0.00903076806776328,kg kg**-1,monthly_climatology
q850,month_09,east_africa,0.009562033078227603,kg kg**-1,monthly_climatology
q850,month_09,atlantic_congo_ethiopia,0.009062850111377042,kg kg**-1,monthly_climatology
q850,month_09,indian_ocean,0.008995834469899306,kg kg**-1,monthly_climatology
q850,JJA,ethiopia,0.010793952054361487,kg kg**-1,seasonal_climatology
q850,JJA,greater_horn,0.008946470706803317,kg kg**-1,seasonal_climatology
q850,JJA,east_africa,0.009472445321086823,kg kg**-1,seasonal_climatology
q850,JJA,atlantic_congo_ethiopia,0.008836454606565078,kg kg**-1,seasonal_climatology
q850,JJA,indian_ocean,0.009433655365624322,kg kg**-1,seasonal_climatology
q850,JJAS,ethiopia,0.01075416926417202,kg kg**-1,seasonal_climatology
q850,JJAS,greater_horn,0.008967545340810604,kg kg**-1,seasonal_climatology
q850,JJAS,east_africa,0.009494842696248574,kg kg**-1,seasonal_climatology
q850,JJAS,atlantic_congo_ethiopia,0.008893053879509278,kg kg**-1,seasonal_climatology
q850,JJAS,indian_ocean,0.009324200499263914,kg kg**-1,seasonal_climatology
omega500,month_06,ethiopia,-0.018629559388504805,Pa s**-1,monthly_climatology
omega500,month_06,greater_horn,0.0070385716542677845,Pa s**-1,monthly_climatology
omega500,month_06,east_africa,0.004897537895771122,Pa s**-1,monthly_climatology
omega500,month_06,atlantic_congo_ethiopia,0.006782827750310994,Pa s**-1,monthly_climatology
omega500,month_06,indian_ocean,-0.0035955656766307183,Pa s**-1,monthly_climatology
omega500,month_07,ethiopia,-0.034239830440559525,Pa s**-1,monthly_climatology
omega500,month_07,greater_horn,0.001219710437530547,Pa s**-1,monthly_climatology
omega500,month_07,east_africa,5.4984196690635995e-05,Pa s**-1,monthly_climatology
omega500,month_07,atlantic_congo_ethiopia,0.003753027467778188,Pa s**-1,monthly_climatology
omega500,month_07,indian_ocean,-0.004953370751328028,Pa s**-1,monthly_climatology
omega500,month_08,ethiopia,-0.03193089666463488,Pa s**-1,monthly_climatology
omega500,month_08,greater_horn,-0.0010222855800493614,Pa s**-1,monthly_climatology
omega500,month_08,east_africa,-0.0026833859848426583,Pa s**-1,monthly_climatology
omega500,month_08,atlantic_congo_ethiopia,0.00022484936351985395,Pa s**-1,monthly_climatology
omega500,month_08,indian_ocean,-0.0024383472364820492,Pa s**-1,monthly_climatology
omega500,month_09,ethiopia,-0.010430849133957787,Pa s**-1,monthly_climatology
omega500,month_09,greater_horn,0.0044503043798489825,Pa s**-1,monthly_climatology
omega500,month_09,east_africa,0.0023774042882528596,Pa s**-1,monthly_climatology
omega500,month_09,atlantic_congo_ethiopia,0.0020953786739270923,Pa s**-1,monthly_climatology
omega500,month_09,indian_ocean,0.00028011654344954455,Pa s**-1,monthly_climatology
omega500,JJA,ethiopia,-0.028266761325303955,Pa s**-1,seasonal_climatology
omega500,JJA,greater_horn,0.0024119987956915004,Pa s**-1,seasonal_climatology
omega500,JJA,east_africa,0.0007563787015723892,Pa s**-1,seasonal_climatology
omega500,JJA,atlantic_congo_ethiopia,0.0035869015005483705,Pa s**-1,seasonal_climatology
omega500,JJA,indian_ocean,-0.0036624274197056116,Pa s**-1,seasonal_climatology
omega500,JJAS,ethiopia,-0.023807782786430864,Pa s**-1,seasonal_climatology
omega500,JJAS,greater_horn,0.0029215753902888625,Pa s**-1,seasonal_climatology
omega500,JJAS,east_africa,0.0011616353120165778,Pa s**-1,seasonal_climatology
omega500,JJAS,atlantic_congo_ethiopia,0.0032140210119424796,Pa s**-1,seasonal_climatology
omega500,JJAS,indian_ocean,-0.0026767910998561515,Pa s**-1,seasonal_climatology
omega700,month_06,ethiopia,-0.047580626284696156,Pa s**-1,monthly_climatology
omega700,month_06,greater_horn,-0.0050631348027532835,Pa s**-1,monthly_climatology
omega700,month_06,east_africa,-0.007362620075619632,Pa s**-1,monthly_climatology
omega700,month_06,atlantic_congo_ethiopia,-0.0006512435278197484,Pa s**-1,monthly_climatology
omega700,month_06,indian_ocean,-0.0049419137824525845,Pa s**-1,monthly_climatology
omega700,month_07,ethiopia,-0.038176476595720564,Pa s**-1,monthly_climatology
omega700,month_07,greater_horn,-0.0074394948646964425,Pa s**-1,monthly_climatology
omega700,month_07,east_africa,-0.008022374411783904,Pa s**-1,monthly_climatology
omega700,month_07,atlantic_congo_ethiopia,-0.0005147204051054864,Pa s**-1,monthly_climatology
omega700,month_07,indian_ocean,-0.005287503443377138,Pa s**-1,monthly_climatology
omega700,month_08,ethiopia,-0.030182583443468882,Pa s**-1,monthly_climatology
omega700,month_08,greater_horn,-0.009233478735298043,Pa s**-1,monthly_climatology
omega700,month_08,east_africa,-0.009685950266689034,Pa s**-1,monthly_climatology
omega700,month_08,atlantic_congo_ethiopia,-0.0033678193777332437,Pa s**-1,monthly_climatology
omega700,month_08,indian_ocean,-0.0037398247233247,Pa s**-1,monthly_climatology
omega700,month_09,ethiopia,-0.03404286543707696,Pa s**-1,monthly_climatology
omega700,month_09,greater_horn,-0.008217183334702003,Pa s**-1,monthly_climatology
omega700,month_09,east_africa,-0.011219814197543716,Pa s**-1,monthly_climatology
omega700,month_09,atlantic_congo_ethiopia,-0.005499908820986515,Pa s**-1,monthly_climatology
omega700,month_09,indian_ocean,-0.0021471618518499012,Pa s**-1,monthly_climatology
omega700,JJA,ethiopia,-0.038646564624698294,Pa s**-1,seasonal_climatology
omega700,JJA,greater_horn,-0.007245370949724354,Pa s**-1,seasonal_climatology
omega700,JJA,east_africa,-0.008356982945943404,Pa s**-1,seasonal_climatology
omega700,JJA,atlantic_congo_ethiopia,-0.0015112617889725835,Pa s**-1,seasonal_climatology
omega700,JJA,indian_ocean,-0.004656414759632427,Pa s**-1,seasonal_climatology
omega700,JJAS,ethiopia,-0.03749563327358184,Pa s**-1,seasonal_climatology
