period,domain,diagnostic,value,units,classification,description
Jun_2026,central_ethiopia,z500,5881.6246479837255,gpm,not_classified,500 hPa geopotential height
Jun_2026,central_ethiopia,sst_proxy,,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,west_ethiopia,u200,-17.13850235763917,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,west_ethiopia,v200,0.20955394540339198,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,west_ethiopia,tej_strength,17.13850235763917,m s**-1,moderate_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,west_ethiopia,div200,3.509676986092692e-06,s-1,divergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,west_ethiopia,u850,0.8285499469477967,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,west_ethiopia,v850,2.099637499888274,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,west_ethiopia,q850,0.012281161070389502,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,west_ethiopia,wind_speed850,2.707294399024762,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,west_ethiopia,qu850,0.010589799483046156,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,west_ethiopia,qv850,0.024828022311299717,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,west_ethiopia,mfc850,-1.2304703144888774e-08,kg kg-1 s-1 approximately,moisture_divergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,west_ethiopia,omega500,-0.08626689724070645,Pa s**-1,rising_motion_tendency,500 hPa vertical velocity / omega
Jun_2026,west_ethiopia,omega700,-0.004060099192070997,Pa s**-1,rising_motion_tendency,700 hPa vertical velocity / omega
Jun_2026,west_ethiopia,vp200,7408802.366724202,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,west_ethiopia,strf200,-18034358.302162815,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,west_ethiopia,z200,12439.959136046862,gpm,not_classified,200 hPa geopotential height
Jun_2026,west_ethiopia,z500,5882.928496694132,gpm,not_classified,500 hPa geopotential height
Jun_2026,west_ethiopia,sst_proxy,,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,east_ethiopia,u200,-17.821828322399874,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,east_ethiopia,v200,1.2997738629772235,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,east_ethiopia,tej_strength,17.821828322399874,m s**-1,moderate_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,east_ethiopia,div200,-3.1133655328640228e-06,s-1,convergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,east_ethiopia,u850,4.939575445189353,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,east_ethiopia,v850,6.330995910871951,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,east_ethiopia,q850,0.009896379494322578,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,east_ethiopia,wind_speed850,8.71330679174422,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,east_ethiopia,qu850,0.050036778191994716,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,east_ethiopia,qv850,0.06595274609886141,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,east_ethiopia,mfc850,1.8015953386770188e-08,kg kg-1 s-1 approximately,moisture_convergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,east_ethiopia,omega500,0.03601682709188662,Pa s**-1,subsidence_tendency,500 hPa vertical velocity / omega
Jun_2026,east_ethiopia,omega700,0.0013787267745605319,Pa s**-1,subsidence_tendency,700 hPa vertical velocity / omega
Jun_2026,east_ethiopia,vp200,6409564.525633909,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,east_ethiopia,strf200,-17699663.09283866,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,east_ethiopia,z200,12431.571148069706,gpm,not_classified,200 hPa geopotential height
Jun_2026,east_ethiopia,z500,5877.79525817405,gpm,not_classified,500 hPa geopotential height
Jun_2026,east_ethiopia,sst_proxy,303.13186318051845,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,greater_horn,u200,-6.173111881735888,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,greater_horn,v200,0.12102874206356264,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,greater_horn,tej_strength,6.173111881735888,m s**-1,weak_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,greater_horn,div200,-5.466145268431753e-07,s-1,convergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,greater_horn,u850,0.011809602032210587,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,greater_horn,v850,2.511631028455287,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,greater_horn,q850,0.008237556991809301,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,greater_horn,wind_speed850,6.03024472892988,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,greater_horn,qu850,0.0029622051915569603,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,greater_horn,qv850,0.027711596533693844,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,greater_horn,mfc850,-3.056516036524484e-09,kg kg-1 s-1 approximately,moisture_divergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,greater_horn,omega500,0.01607676089329002,Pa s**-1,subsidence_tendency,500 hPa vertical velocity / omega
Jun_2026,greater_horn,omega700,0.004500189382085274,Pa s**-1,subsidence_tendency,700 hPa vertical velocity / omega
Jun_2026,greater_horn,vp200,7943099.017265035,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,greater_horn,strf200,-17842707.37023034,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,greater_horn,z200,12442.339509584846,gpm,not_classified,200 hPa geopotential height
Jun_2026,greater_horn,z500,5879.226893842224,gpm,not_classified,500 hPa geopotential height
Jun_2026,greater_horn,sst_proxy,300.60564765829184,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,east_africa,u200,-6.728245618474562,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,east_africa,v200,-0.37146950622435077,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,east_africa,tej_strength,6.728245618474562,m s**-1,weak_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,east_africa,div200,-5.444121218047961e-07,s-1,convergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,east_africa,u850,-0.061627991885242775,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,east_africa,v850,3.4003508844656904,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,east_africa,q850,0.008814591520237279,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,east_africa,wind_speed850,6.133542440538877,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,east_africa,qu850,0.003167974741007096,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,east_africa,qv850,0.033489387058635495,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,east_africa,mfc850,-2.7773252387671794e-09,kg kg-1 s-1 approximately,moisture_divergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,east_africa,omega500,0.014157189602023793,Pa s**-1,subsidence_tendency,500 hPa vertical velocity / omega
Jun_2026,east_africa,omega700,0.001589781350297497,Pa s**-1,subsidence_tendency,700 hPa vertical velocity / omega
